SPAC4F8.01	SPAC10F6.11C
SPAC12B10.01C	SPBC776.15C
SPCC63.14	SPAC10F6.11C
SPBC3B9.16C	SPAC1486.05
SPAC4A8.14	SPAC4A8.14
SPAPB1A10.03	SPCC594.05C
SPCC11E10.07C	SPCC11E10.07C
SPAC8C9.17C	SPAC10F6.11C
SPBP35G2.06C	SPBC428.01C
SPAC10F6.11C	SPAC1805.07C
SPBC1711.05	SPBC215.06C
SPBC13G1.08C	SPCC18.11C
SPBC8D2.14C	SPCC74.01
SPAC13F5.06C	SPCC1183.01
SPAP27G11.06C	SPCP1E11.06
SPCC16A11.02	SPAC56F8.04C
SPAC25G10.04C	SPBC365.06
SPAC2C4.03C	SPBC3E7.14
SPAC19B12.04	SPAC644.15
SPAC343.14C	SPCC63.07
SPAC343.14C	SPAC1556.04C
SPBC29A3.10C	SPBC21.04
SPBC29A3.10C	SPBC365.06
SPBC29A3.10C	SPCC777.08C
SPCC18.14C	SPAC644.15
SPCC18.14C	SPAC644.15
SPAC144.17C	SPCC16A11.14
SPAC1B1.03C	SPAC5H10.09C
SPAC1B1.03C	SPAC806.07
SPAC1B1.03C	SPBC1198.14C
SPBC1198.14C	SPBC1198.14C
SPBC342.04	SPBC17D11.07C
SPAC10F6.11C	SPBC36.08C
SPAC10F6.11C	SPAC10F6.11C
SPAC10F6.11C	SPAC13G7.08C
SPAC17A2.03C	SPBC1734.10C
SPAC17A2.03C	SPAC11E3.07
SPAC13D6.03C	SPBC557.04
SPAC1786.03	SPAC19E9.01C
SPAC14C4.05C	SPBP4H10.21C
SPBP4H10.04	SPAC637.13C
SPAC1565.06C	SPBC3E7.02C
SPAC1565.06C	SPBP4H10.12
SPAC1565.06C	SPAC5H10.09C
SPAC1565.06C	SPAC1805.06C
SPAC1565.06C	SPCC126.12
SPAC1565.06C	SPBC4C3.03
SPAC1565.06C	SPAC4F10.02
SPAC1565.06C	SPAC18B11.09C
SPAC1565.06C	SPCC1322.04
SPAC1565.06C	SPAC806.06C
SPAC1565.06C	SPBC1198.14C
SPAC1565.06C	SPAC10F6.11C
SPAC1565.06C	SPCC306.02C
SPAC1565.06C	SPCC550.06C
SPAC1565.06C	SPBP26C9.02C
SPCC1442.06	SPBC25H2.03
SPCC1494.02C	SPCC777.08C
SPCC4G3.13C	SPAC1142.06
SPCC4G3.13C	SPBC4B4.06
SPCC970.03	SPAC19E9.01C
SPAC23C11.16	SPBC12D12.01
SPAC1486.05	SPBP4H10.12
SPAC1486.05	SPAC17C9.14
SPAC1486.05	SPBC16A3.05C
SPAC1486.05	SPBC365.07C
SPAC1486.05	SPAC1486.05
SPAC1486.05	SPAC3F10.17
SPAC1486.05	SPAC1783.07C
SPAC1486.05	SPBC3B9.21
SPAC1486.05	SPAC15A10.13
